Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
Ap Lei Chau Estate,鴨脷洲邨,Lei Chak House,利澤樓,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Fook House High Block,利福樓 高座,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Fook House Low Block,利福樓 低座,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Moon House High Block,利滿樓 高座,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Moon House Low Block,利滿樓 低座,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Ning House,利寧樓,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Tim House,利添樓,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,Lei Yee House,利怡樓,,,,,322 Ap Lei Chau Bridge Rd.,鴨脷洲橋道322號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate,鴨脷洲邨,The Harbour School,港灣學校,,,,,332 Ap Lei Chau Bridge Rd.,鴨脷洲橋道332號,,,,,See Appendix I,見附錄I
Ap Lei Chau Estate Market,鴨脷洲邨街市,,,,,330 Ap Lei Chau Bridge Rd.,鴨洲橋道330號,,,,,-,,,
"Ap Lei Chau Estate Multi-storey
Carpark",鴨脷洲邨多層停車場,,,,,326 Ap Lei Chau Bridge Rd.,鴨洲橋道326號,,,,,-,,,
"Ap Lei Chau Main Street
Sewage Pumping Station",鴨脷洲大街污水泵房,,,,,"170 Main St.,
Ap Lei Chau",鴨洲大街170號,,,,,-,,,
"Ap Lei Chau Municipal
Services Building",鴨脷洲市政大廈,,,,,8 Hung Shing St.,洪聖街8號,,,,,-,,,
Ap Lei Chau Sewage Screening Plant,鴨脷洲污水隔篩廠,,,,,50 Lee Nam Rd.,利南路50號,,,,,-,,,
"Ap Lei Chau Sub-Divisional
Fire Station",鴨脷洲分區消防局,,,,,300 Ap Lei Chau Bridge Rd.,鴨洲橋道300號,,,,,-,,,
"Ap Lei Chau West Industrial Area
Cooked Food Market",鴨脷洲西岸工業邨熟食市場,,,,,4 Lee Lok St.,利樂街4號,,,,,-,,,
"Ap Lei Chau West Sewage
Pumping Station",鴨脷洲西污水泵房,,,,,3 Lee Wing St.,利榮街3號,,,,,-,,,
Apec Plaza,創貿廣場,,,,,49 Hoi Yuen Rd.,開源道49號,,,,,1995,,,
Aplichau Kaifong Primary School,鴨脷洲街坊學校,,,,,"9 Lei Tung Estate Rd.
Lei Tung Estate","利東邨道9號
利東邨",,,,,-,,,
